hash,Учебная группа,Специальность/направление,sem_key,n_records,n_distinct_disciplines,n_otlichno,n_horosho,n_udovl,n_neudovl,n_neyavka,n_nezachteno,n_debts,n_zachet_rows,n_zachteno,avg_score,avg_discipline_difficulty,group_difficulty,specialty_difficulty,n_retake_rows_in_semester,has_retake_in_semester,share_zachteno,semester_number,prev_avg_score,score_trend,actual_category,predicted_category,probability_0,probability_1,probability_2,probability_3+,match
d79e6cd0ff23bbbe9e9ba252f1fa0f6b,БМН-21-2,Менеджмент,4045,8,8,1,2,3,0,0,0,0,0,0,3.6666666666666665,0.013755359291615,0.0106463878326996,0.0306122448979591,0,False,1.0,4,3.142857142857143,0.5238095238095237,1,0,0.58773445244742,0.18794487069399146,0.14400147348003145,0.08031920337855804,False
d848396f314f5916f93b32fa1579ef27,СФП-20-1,Физические процессы горного или нефтегазового производства,4045,8,8,5,2,0,0,0,0,0,1,1,4.714285714285714,0.0479237437154464,0.0607734806629834,0.0206825232678386,0,False,1.0,6,4.833333333333333,-0.1190476190476186,0,0,0.7065174780645106,0.22971908047416875,0.03535305345124495,0.028410388010075855,True
d8a745773bde37880c45bb4c32d67fa8,СГД-18-3,Горное дело,4045,7,7,6,0,0,0,0,0,0,1,1,5.0,0.0040409633432889,0.0,0.028757550633661,0,False,1.0,10,5.0,0.0,0,0,0.981748492041434,0.009542608977614084,9.35974952177514e-05,0.00861530148573428,True
d8c4f9e764580b28f0791e5e85aecc31,СГД-18-2,Горное дело,4045,6,6,2,4,0,0,0,0,0,0,0,4.333333333333333,0.0015432098765432,0.0,0.028757550633661,0,False,1.0,10,4.0,0.333333333333333,0,0,0.8476112308891878,0.0810607365006258,0.02324652844743355,0.04808150416275286,True
d900cf6f4cc9364fcf9f69f032bb7c8b,МТМО-22-3,Технологические машины и оборудование,4045,7,7,0,0,0,0,7,0,7,0,0,4.125,0.2752771279278632,0.4532224532224532,0.0708389024294362,0,False,1.0,2,4.0,0.0,3+,3+,0.008073217667030159,0.022844180468517297,0.040855758079455275,0.9282268437849975,True
d9638f86d281d4f618382e00e60995c0,СГД-18-14,Горное дело,4045,7,7,1,4,0,0,0,0,0,2,2,4.2,0.0040409633432889,0.0,0.028757550633661,0,False,1.0,10,4.571428571428571,-0.371428571428571,0,0,0.8508727920346523,0.03761596402018063,0.06836001100347035,0.04315123294169676,True
d9e713f6e6eed1f0bbfa7146138159cf,СГД-18-14,Горное дело,4045,7,7,1,3,1,0,0,0,0,2,2,4.0,0.0040409633432889,0.0,0.028757550633661,0,False,1.0,10,4.375,-0.375,0,0,0.8747425938976344,0.04061233685506764,0.04188479447444619,0.042760274772851756,True
da706370f351c0ee6447ef25040cc4ed,СГД-18-12,Горное дело,4045,7,7,3,1,3,0,0,0,0,0,0,4.0,0.0040409633432889,0.0,0.028757550633661,0,False,1.0,10,4.2,-0.2000000000000001,0,0,0.8480266925396156,0.09008714524364782,0.03306626554588352,0.0288198966708529,True
db1afeef69603d9be2fac865b8ad4e0d,СФП-18-2,Физические процессы горного или нефтегазового производства,4045,7,7,6,1,0,0,0,0,0,0,0,4.857142857142857,0.003771730914588,0.0,0.0206825232678386,0,False,1.0,10,5.0,-0.1428571428571432,0,0,0.9638392472860084,0.021717806160152946,0.002886151307091831,0.011556795246746904,True
db28dc022badc4dd211e66443cd47846,ББИ-20-1,Бизнес-информатика,4045,9,9,1,2,3,0,0,0,0,3,3,3.6666666666666665,0.0149008244384677,0.0027720027720027,0.0143578183956485,0,False,1.0,6,4.4,-0.7333333333333338,0,0,0.6655594941897479,0.26552873229070323,0.051421961070373466,0.01748981244917598,True
